province,year,profession,age 30–59 years (%),age 60+ years (%),age <30 years (%),count,female (%),per_100k
MB,2020,Family medicine,68.1,23,8.9,1494,41.2,108.3
MB,2020,Genetic counsellors,,,,12,100,0.9
MB,2020,Health information management professionals,,,,164,,11.9
MB,2020,Licensed practical nurses,76.5,10.6,12.9,3562,88.7,258.1
MB,2020,Medical laboratory technologists,,,,956,,69.3
MB,2020,Medical physicists,,,,12,9.1,0.9
MB,2020,Medical radiation technologists,74.7,7.4,17.9,887,77.6,64.3
MB,2020,Midwives,89.1,3.6,7.3,55,98.2,4
MB,2020,Nurse practitioners,91.4,4.7,3.9,233,89.7,16.9
MB,2020,Occupational therapists,,,,722,,52.3
MB,2020,Optometrists,74.5,16.1,9.4,192,48.4,13.9
MB,2020,Pharmacists,,,,1662,,120.4
MB,2020,Pharmacy technicians,,,,212,,15.4
MB,2020,Physician assistants,,,,123,,8.9
MB,2020,Physicians,71.2,24,4.8,2987,38,216.4
MB,2020,Physiotherapists,,,,876,,63.5
MB,2020,Psychologists,72.8,27.2,0,288,66.3,20.9
MB,2020,Registered nurses,74.3,12.4,13.3,12856,90.6,931.5
MB,2020,Registered psychiatric nurses,69.1,12.8,18.1,1033,83.3,74.8
MB,2020,Regulated nurses,74.6,12,13.4,17684,89.7,1281.3
MB,2020,Respiratory therapists,64,7.6,28.4,342,65.2,24.8
MB,2020,Social workers,77.4,13.6,8.9,2520,85.9,182.6
MB,2020,Specialists,74.3,25,0.7,1493,34.8,108.2
MB,2020,Speech–language pathologists,,,,395,,28.6
MB,2021,Audiologists,,,,77,,5.5
MB,2021,Chiropractors,78.2,15.6,6.1,294,31.3,21.1
MB,2021,Dental assistants,66.5,3.5,30.1,1324,97.4,95.1
MB,2021,Dental hygienists,70.4,5.4,24.2,810,94.9,58.2
MB,2021,Dentists,73.6,18.1,8.4,753,38.1,54.1
MB,2021,Denturists,,,,46,,3.3
MB,2021,Dietitians,79.2,6,14.8,499,,35.8
MB,2021,Environmental public health professionals,,,,,,
MB,2021,Family medicine,68.8,24.2,7,1505,40.5,108.1
MB,2021,Genetic counsellors,,,,,100,
MB,2021,Health information management professionals,78.6,10.3,11.1,,89.8,
MB,2021,Licensed practical nurses,77.4,10.3,12.3,3693,88.6,265.3
MB,2021,Medical laboratory technologists,80.3,10.1,9.6,930,80.4,66.8
MB,2021,Medical physicists,,,,,16.7,
MB,2021,Medical radiation technologists,75.6,7.5,16.9,,77.3,
MB,2021,Midwives,82.8,4.7,12.5,64,98.4,4.6
MB,2021,Nurse practitioners,93.5,4.4,2.2,275,,19.8
MB,2021,Occupational therapists,,,,753,,54.1
MB,2021,Opticians,75.5,14.4,10.2,244,78.1,17.5
MB,2021,Optometrists,76.8,15.3,7.9,190,50,13.7
MB,2021,Paramedics,73.1,3.2,23.6,2138,34.8,153.6
MB,2021,Pharmacists,,,,1628,,117
MB,2021,Pharmacy technicians,,,,224,,16.1
MB,2021,Physician assistants,,,,138,32.1,9.9
MB,2021,Physicians,72.3,24.1,3.6,2996,38.1,215.2
MB,2021,Physiotherapists,,,,922,,66.2
MB,2021,Psychologists,72.8,27.2,0,280,66.8,20.1
MB,2021,Registered nurses,74.8,12.2,13,13149,,944.7
MB,2021,Registered psychiatric nurses,69.3,12.6,18.1,1112,84.1,79.9
MB,2021,Regulated nurses,75.2,11.7,13,18229,87.5,1309.6
MB,2021,Respiratory therapists,64.6,9.9,25.5,373,64.9,26.8
MB,2021,Social workers,77.2,13.9,8.9,2616,86.2,187.9
MB,2021,Specialists,75.7,24.1,0.2,1491,35.7,107.1
MB,2021,Speech–language pathologists,,,,418,,30
MB,2022,Audiologists,,,,77,,5.4
MB,2022,Chiropractors,75.8,18.7,5.5,289,30.8,20.4
MB,2022,Dental hygienists,72.5,7.1,20.4,888,94.8,62.8
MB,2022,Denturists,,,,45,,3.2
MB,2022,Dietitians,81,4.7,14.3,510,,36.1
MB,2022,Environmental public health professionals,,,,,,
MB,2022,Family medicine,69.7,22.6,7.7,1570,41.7,111.1
MB,2022,Genetic counsellors,,,,,,
MB,2022,Licensed practical nurses,78.4,10.3,11.3,3667,88.4,259.4
MB,2022,Medical laboratory technologists,80.9,8.8,10.3,904,80.5,64
MB,2022,Medical radiation technologists,77.5,7.5,15.1,,77.3,
MB,2022,Midwives,84.7,6.8,8.5,59,98.3,4.2
MB,2022,Nurse practitioners,94.1,3.9,2,306,87.5,21.6
MB,2022,Occupational therapists,82.1,5,12.9,785,92.1,55.5
MB,2022,Opticians,75.7,14.8,9.5,237,77.4,16.8
MB,2022,Optometrists,76,14.6,9.4,192,50,13.6
MB,2022,Paramedics,79.3,3.3,17.4,1959,35.5,138.6
MB,2022,Pharmacists,79.1,8.4,12.6,1631,58.1,115.4
MB,2022,Pharmacy technicians,,,,228,,16.1
MB,2022,Physicians,73.1,22.9,4,3031,39.3,214.4
MB,2022,Physiotherapists,79,6.8,14.1,940,72.3,66.5
MB,2022,Psychologists,74.5,24.8,0.7,290,67.9,20.5
MB,2022,Registered nurses,74.6,12,13.5,13283,90,939.8
MB,2022,Registered psychiatric nurses,70.4,11.8,17.8,1138,84.3,80.5
MB,2022,Regulated nurses,75.4,11.5,13.1,18394,89.2,1301.4
MB,2022,Respiratory therapists,69.9,9.2,20.8,336,66.4,23.8
MB,2022,Specialists,76.8,23.1,0.1,1461,36.8,103.4
MB,2022,Speech–language pathologists,,,,417,,29.5
MB,2023,Audiologists,,,,67,,4.6
MB,2023,Chiropractors,75.9,19.9,4.2,286,32.5,19.7
MB,2023,Dental assistants,67.1,5.6,27.2,1312,97.9,90.2
MB,2023,Dental hygienists,71.2,5.4,23.3,884,94.5,60.8
MB,2023,Dentists,73.7,17.9,8.4,809,39.3,55.6
MB,2023,Denturists,,,,43,,3
MB,2023,Dietitians,83.3,4.8,11.8,516,,35.5
MB,2023,Environmental public health professionals,,,,,,
MB,2023,Family medicine,69.5,22.7,7.8,1562,42.7,107.4
MB,2023,Genetic counsellors,,,,,,
MB,2023,Health information management professionals,77.1,10.2,12.7,,89.2,
MB,2023,Licensed practical nurses,78.9,10.1,11,3784,88.3,260.1
MB,2023,Medical laboratory technologists,80.4,8.3,11.3,884,80.5,60.8
MB,2023,Medical physicists,85.7,0,14.3,,44.4,
MB,2023,Medical radiation technologists,77.7,8.9,13.4,,76.9,
MB,2023,Midwives,88.2,7.8,3.9,51,98,3.5
MB,2023,Nurse practitioners,92.4,7,0.6,316,86.9,21.7
MB,2023,Occupational therapists,84.1,5.2,10.6,815,91.4,56
MB,2023,Opticians,78.5,15,6.5,234,76.6,16.1
MB,2023,Optometrists,79.9,15.3,4.8,189,51.3,13
MB,2023,Paramedics,75.6,3.2,21.2,2102,36.3,144.5
MB,2023,Pharmacists,79.9,8.7,11.5,1629,58.9,112
MB,2023,Pharmacy technicians,,,,226,,15.5
MB,2023,Physician assistants,,,,119,72.3,8.2
MB,2023,Physicians,73.5,22.2,4.3,3187,39.7,219.1
MB,2023,Physiotherapists,78.1,6.6,15.3,982,71.9,67.5
MB,2023,Psychologists,74.5,23.9,1.6,316,72.8,21.7
MB,2023,Registered nurses,74.5,14.5,11,13460,90.1,925.1
MB,2023,Registered psychiatric nurses,70.4,12.8,16.9,1168,84.6,80.3
MB,2023,Regulated nurses,75.4,13.4,11.2,18728,89.2,1287.2
MB,2023,Respiratory therapists,73.7,8.7,17.6,335,66.3,23
MB,2023,Social workers,78.2,12.6,9.2,2675,,183.9
MB,2023,Specialists,77.3,21.7,1,1625,36.8,111.7
MB,2023,Speech–language pathologists,,,,389,,26.7
NB,2019,Audiologists,83.8,10,6.3,80,72.5,10.3
NB,2019,Chiropractors,66.7,12.1,21.2,99,43.4,12.7
NB,2019,Dental assistants,68.5,3,28.5,536,100,68.9
NB,2019,Dental hygienists,72.9,2.7,24.4,517,99.4,66.5
NB,2019,Dentists,77.7,15.2,7.1,331,41.2,42.6
NB,2019,Denturists,,,,32,,4.1
NB,2019,Dietitians,72,3.7,24.3,387,98.2,49.8
NB,2019,Environmental public health professionals,,,,49,,6.3
NB,2019,Family medicine,64.3,28.8,6.9,1058,48.1,136.1
NB,2019,Health information management professionals,81.1,14.8,4.1,125,94.4,16.1
NB,2019,Licensed practical nurses,,,,3286,,422.7
NB,2019,Medical laboratory technologists,,,,659,85,84.8
NB,2019,Medical physicists,,,,13,23.1,1.7
NB,2019,Medical radiation technologists,75,5.2,19.7,580,84,74.6
NB,2019,Midwives,85.7,0,14.3,7,100,0.9
NB,2019,Nurse practitioners,89.9,7.9,2.2,139,93.5,17.9
NB,2019,Occupational therapists,80.6,1.5,17.9,403,92.1,51.8
NB,2019,Opticians,,,,253,75.2,32.5
NB,2019,Optometrists,73.8,18.3,7.9,128,58.6,16.5
NB,2019,Pharmacists,78.2,8.4,13.4,917,68.2,118
NB,2019,Pharmacy technicians,,,,244,,31.4
NB,2019,Physician assistants,,,,9,,1.2
NB,2019,Physicians,70.3,25.8,3.9,1923,40.7,247.4
NB,2019,Physiotherapists,77.9,6.5,15.5,567,76,72.9
NB,2019,Psychologists,,,,364,,46.8
NB,2019,Registered nurses,74.9,11.9,13.2,8019,94.2,1031.5
NB,2019,Regulated nurses,75.1,11.8,13,11444,94.2,1472.1
NB,2019,Respiratory therapists,76.9,2.8,20.3,429,77.2,55.2
NB,2019,Social workers,68.4,9,22.5,2069,88,266.1
NB,2019,Specialists,77.5,22.2,0.2,865,31.7,111.3
NB,2019,Speech–language pathologists,78,12.4,9.6,250,96,32.2
NB,2020,Audiologists,80.5,9.8,9.8,82,75.6,10.5
NB,2020,Chiropractors,61.8,13.6,24.5,110,46.4,14.04078465
NB,2020,Dental assistants,69.6,3.7,26.7,570,99.5,72.8
NB,2020,Dental hygienists,73.3,3.4,23.3,536,99.3,68.4
NB,2020,Dentists,74.4,19.4,6.2,355,40.8,45.3
NB,2020,Denturists,,,,30,,3.8
NB,2020,Dietitians,71,4.7,24.4,386,98.7,49.3
NB,2020,Environmental public health professionals,,,,45,,5.7
NB,2020,Family medicine,64.4,28.9,6.6,1072,49.5,136.8
NB,2020,Health information management professionals,,,,120,,15.3
NB,2020,Licensed practical nurses,76.9,7.7,15.4,3076,91,392.6
NB,2020,Medical laboratory technologists,,,,655,84.9,83.6
NB,2020,Medical physicists,100,0,0,6,16.7,0.8
NB,2020,Medical radiation technologists,74.4,5.1,20.6,598,84.6,76.3
NB,2020,Midwives,100,0,0,7,100,0.9
NB,2020,Nurse practitioners,89.9,9.5,0.7,148,93.9,18.9
NB,2020,Occupational therapists,81.8,1.7,16.4,402,91.5,51.3
NB,2020,Optometrists,72.9,17.8,9.3,129,62,16.5
NB,2020,Pharmacists,80.5,9.4,10.1,902,68.2,115.1
NB,2020,Pharmacy technicians,,,,242,,30.9
NB,2020,Physician assistants,,,,10,,1.3
NB,2020,Physicians,70.7,25.6,3.6,1949,41.9,248.8
NB,2020,Physiotherapists,76.8,6.7,16.6,589,75.4,75.2
NB,2020,Psychologists,,,,364,,46.5
NB,2020,Registered nurses,74.2,13,12.8,7974,94,1017.8
NB,2020,Regulated nurses,75.1,11.5,13.4,11198,93.2,1429.4
NB,2020,Respiratory therapists,76.2,3,20.8,432,75.5,55.1
NB,2020,Social workers,68.8,8.9,22.3,2119,88,270.5
NB,2020,Specialists,78.4,21.6,0,877,32.5,111.9
NB,2020,Speech–language pathologists,77,10.1,12.8,257,96.5,32.8
NB,2021,Audiologists,84.1,6.1,9.8,82,80.5,10.4
NB,2021,Chiropractors,60.6,14.7,24.8,109,45,13.8
NB,2021,Dental assistants,68.2,4.2,27.5,614,99.5,77.6
NB,2021,Dental hygienists,73.2,2.9,23.9,545,99.4,68.9
NB,2021,Dentists,73.7,18.6,7.8,361,41.8,45.6
NB,2021,Denturists,,,,33,,4.2
NB,2021,Dietitians,76,3.4,20.6,383,98.2,48.4
NB,2021,Environmental public health professionals,,,,,,
NB,2021,Family medicine,63.5,29.7,6.8,1103,50.5,139.5
NB,2021,Health information management professionals,84.3,9.3,6.5,,92.5,
NB,2021,Licensed practical nurses,70.7,5.9,23.3,3422,91.5,432.7
NB,2021,Medical laboratory technologists,,,,668,85.3,84.5
NB,2021,Medical physicists,100,0,0,,0,
NB,2021,Medical radiation technologists,73.7,5.3,21,604,84.7,76.4
NB,2021,Midwives,83.3,0,16.7,6,100,0.8
NB,2021,Nurse practitioners,89.9,9.4,0.6,159,92.5,20.1
NB,2021,Occupational therapists,81.3,2.7,16.1,411,91,52
NB,2021,Opticians,,,,272,74,34.4
NB,2021,Optometrists,70.8,20.8,8.5,130,60.8,16.4
NB,2021,Pharmacists,80.6,10.9,8.5,902,68.2,114.1
NB,2021,Pharmacy technicians,,,,251,,31.7
NB,2021,Physician assistants,,,,7,14.3,0.9
NB,2021,Physicians,70,26.2,3.7,2022,42.3,255.7
NB,2021,Physiotherapists,78.1,5.2,16.8,579,74.3,73.2
NB,2021,Psychologists,,,,399,,50.5
NB,2021,Psychotherapists/counselling therapists,,,,370,,46.8
NB,2021,Registered nurses,73.5,14.2,12.2,8045,93.9,1017.3
NB,2021,Regulated nurses,72.9,11.7,15.3,11626,93.2,1470.2
NB,2021,Respiratory therapists,75.1,3.2,21.7,434,82,54.9
NB,2021,Social workers,69.5,8.7,21.8,2195,88.1,277.6
NB,2021,Specialists,77.9,22.1,0,919,32.4,116.2
NB,2021,Speech–language pathologists,81.1,9.2,9.6,249,96.4,31.5
NB,2022,Audiologists,86.1,2.5,11.4,79,83.5,9.8
NB,2022,Chiropractors,59.3,14.2,26.5,113,49.6,14
NB,2022,Dental assistants,70.3,5.8,23.9,607,99.5,75
NB,2022,Dental hygienists,73.9,4,22.1,575,99,71
NB,2022,Dentists,74.7,21.1,4.2,380,41.1,46.9
NB,2022,Denturists,,,,33,,4.1
NB,2022,Dietitians,76.7,6.7,16.5,417,98.1,51.5
NB,2022,Environmental public health professionals,,,,,,
NB,2022,Family medicine,63.3,28.9,7.8,1124,51,138.8
NB,2022,Genetic counsellors,0,0,0,,0,
NB,2022,Licensed practical nurses,71.7,7.4,21,3545,91.4,437.9
NB,2022,Medical laboratory technologists,72.5,6.1,21.4,688,85,85
NB,2022,Medical radiation technologists,73.9,6,20.1,595,84.7,73.5
NB,2022,Midwives,83.3,0,16.7,6,100,0.7
NB,2022,Nurse practitioners,89.5,8.8,1.8,171,93,21.1
NB,2022,Occupational therapists,79.9,3.3,16.8,423,91.3,52.3
NB,2022,Opticians,,,,271,77.1,33.5
NB,2022,Optometrists,67.9,19.1,13,131,61.8,16.2
NB,2022,Pharmacists,79.5,7.8,12.8,916,68.7,113.1
NB,2022,Pharmacy technicians,,,,253,,31.3
NB,2022,Physicians,70,25.8,4.1,2163,42.7,267.2
NB,2022,Physiotherapists,78.8,5.6,15.6,608,74.7,75.1
NB,2022,Psychologists,73.9,23.2,2.9,399,72.9,49.3
NB,2022,Registered nurses,73.8,14.4,11.8,8019,93.9,990.5
NB,2022,Regulated nurses,73.4,12.2,14.4,11735,93.1,1449.5
NB,2022,Respiratory therapists,74.9,4.3,20.8,438,82.4,54.1
NB,2022,Social workers,70.8,8.7,20.5,2217,88.1,273.8
NB,2022,Specialists,77.3,22.6,0.1,1039,33.8,128.3
NB,2022,Speech–language pathologists,85,5.7,9.3,247,97.2,30.5
NB,2023,Audiologists,85.9,3.5,10.6,85,84.7,10.2
NB,2023,Chiropractors,,,,118,44.9,14.1
NB,2023,Dental assistants,66.2,5.2,28.6,615,99.5,73.7
NB,2023,Dental hygienists,75,4.9,20.1,576,99,69
NB,2023,Dentists,76.5,18.2,5.3,379,42.5,45.4
NB,2023,Denturists,,,,31,,3.7
NB,2023,Dietitians,76.2,4.9,18.9,409,97.6,49
NB,2023,Environmental public health professionals,,,,,,
NB,2023,Family medicine,64.2,29.5,6.4,1181,51.3,141.5
NB,2023,Genetic counsellors,0,0,0,,0,
NB,2023,Health information management professionals,84.6,10.6,4.9,,91.8,
NB,2023,Licensed practical nurses,71.1,7.6,21.3,3678,91.2,440.6
NB,2023,Medical laboratory technologists,72.8,6.1,21.2,676,84.9,81
NB,2023,Medical physicists,83.3,16.7,0,,14.3,
NB,2023,Medical radiation technologists,74.7,6.5,18.7,581,83.9,69.6
NB,2023,Midwives,83.3,0,16.7,6,100,0.7
NB,2023,Nurse practitioners,87.6,9.3,3.1,193,93.8,23.1
NB,2023,Occupational therapists,82.2,3.2,14.6,439,90.4,52.6
NB,2023,Opticians,,,,258,78,30.9
NB,2023,Optometrists,65.2,21.5,13.3,135,62.2,16.2
NB,2023,Pharmacists,80,8.6,11.4,944,68.3,113.1
NB,2023,Pharmacy technicians,,,,266,,31.9
NB,2023,Physician assistants,,,,12,33.3,1.4
NB,2023,Physicians,69.4,27.2,3.4,2214,43,265.2
NB,2023,Physiotherapists,79,5.8,15.2,618,74.8,74
NB,2023,Psychologists,73.7,24.4,1.9,379,,45.4
NB,2023,Psychotherapists/counselling therapists,,,,374,,44.80700043
NB,2023,Registered nurses,75.4,12.4,12.2,7976,93.4,955.6
NB,2023,Regulated nurses,74.3,10.9,14.9,11847,92.7,1419.3
NB,2023,Respiratory therapists,75.2,3.8,20.9,416,82.2,49.8
NB,2023,Social workers,71.4,8.7,19.9,2277,88,272.8
NB,2023,Specialists,75.3,24.7,,1033,33.5,123.8
NB,2023,Speech–language pathologists,83.1,6.5,10.3,261,97.3,31.3
NL,2019,Audiologists,76.9,5.1,17.9,39,82.1,7.4
NL,2019,Dental hygienists,72.5,2.1,25.3,233,96.1,44.2
NL,2019,Dentists,71.9,21.9,6.2,217,43.9,41.1
NL,2019,Denturists,,,,21,,4
NL,2019,Dietitians,84.5,4.4,11,181,98.9,34.3
NL,2019,Environmental public health professionals,,,,29,,5.5
NL,2019,Family medicine,71,23,6.1,692,41.9,131.1
NL,2019,Genetic counsellors,,,,9,100,1.7
NL,2019,Health information management professionals,89.7,9.3,1,98,93.9,18.6
NL,2019,Licensed practical nurses,74.6,4.5,20.9,2390,90.3,453
NL,2019,Medical laboratory technologists,79.1,3.3,17.6,517,82.7,98
NL,2019,Medical physicists,,,,8,37.5,1.5
NL,2019,Medical radiation technologists,72.5,5.1,22.5,389,77.7,73.7
NL,2019,Midwives,75,25,0,4,100,0.8
NL,2019,Nurse practitioners,92.9,4.9,2.2,183,86.3,34.7
NL,2019,Occupational therapists,85.6,0.5,14,215,88.4,40.7
NL,2019,Opticians,,,,123,63.9,23.3
NL,2019,Optometrists,66.2,23.9,9.9,71,52.1,13.5
NL,2019,Pharmacists,72.7,9,18.2,752,60.6,142.5
NL,2019,Pharmacy technicians,,,,198,,37.5
NL,2019,Physician assistants,,,,1,,0.2
NL,2019,Physicians,73.4,23.5,3.2,1357,40.3,257.2
NL,2019,Physiotherapists,83.3,5.7,11,300,74,56.9
NL,2019,Psychologists,,,,281,75.8,53.3
NL,2019,Registered nurses,77.6,5.9,16.5,5771,93.7,1093.7
NL,2019,Regulated nurses,77.1,5.5,17.4,8344,92.5,1581.4
NL,2019,Respiratory therapists,77.2,2.5,20.4,162,77.2,30.7
NL,2019,Social workers,81.8,5.1,13.2,1580,89.1,299.4
NL,2019,Specialists,75.9,23.9,0.2,665,38.6,126
NL,2019,Speech–language pathologists,85.8,3.4,10.8,148,98,28
NL,2020,Audiologists,69.8,7,23.3,43,83.7,8.2
NL,2020,Denturists,,,,22,,4.2
NL,2020,Dietitians,86.4,2.8,10.8,176,98.3,33.4
NL,2020,Environmental public health professionals,,,,24,,4.6
NL,2020,Family medicine,71.4,22.1,6.4,684,44,129.8
NL,2020,Genetic counsellors,,,,9,100,1.7
NL,2020,Health information management professionals,,,,86,,16.3
NL,2020,Licensed practical nurses,72.8,5.4,21.8,2391,90.5,453.8
NL,2020,Medical laboratory technologists,,,,564,82,107
NL,2020,Medical physicists,100,0,0,3,33.3,0.6
NL,2020,Medical radiation technologists,73.4,5.7,20.9,392,78.2,74.4
NL,2020,Midwives,100,0,0,5,100,0.9
NL,2020,Nurse practitioners,93.7,5.8,0.5,191,86.9,36.3
NL,2020,Occupational therapists,85,1.4,13.6,220,88.2,41.8
NL,2020,Optometrists,70.9,21.8,7.3,55,54.5,10.4
NL,2020,Pharmacists,73.1,9.9,16.9,756,61.1,143.5
NL,2020,Pharmacy technicians,,,,206,,39.1
NL,2020,Physician assistants,,,,1,,0.2
NL,2020,Physicians,73.8,23,3.2,1361,41.7,258.3
NL,2020,Physiotherapists,83.6,5.2,11.1,305,73.4,57.9
NL,2020,Psychologists,,,,244,76.6,46.3
NL,2020,Registered nurses,76.6,6.1,17.3,5835,93.2,1107.5
NL,2020,Regulated nurses,75.9,5.9,18.2,8417,92.3,1597.5
NL,2020,Respiratory therapists,81.9,2.5,15.6,160,76.3,30.4
NL,2020,Social workers,80.6,6,13.4,1607,88.8,305
NL,2020,Specialists,76.2,23.8,0,677,39.4,128.5
NL,2020,Speech–language pathologists,85.3,3.3,11.3,150,98,28.5
NL,2021,Audiologists,70.2,6.4,23.4,47,85.1,8.9
NL,2021,Dental hygienists,71.4,2.2,26.4,269,95.9,51
NL,2021,Denturists,,,,22,,4.2
NL,2021,Dietitians,86,2.2,11.7,179,98.9,34
NL,2021,Environmental public health professionals,,,,26,,5
NL,2021,Family medicine,71.6,22.5,5.9,695,44.5,131.9
NL,2021,Genetic counsellors,,,,8,100,1.5
NL,2021,Health information management professionals,87.7,10.8,1.5,65,93.5,12.3
NL,2021,Licensed practical nurses,72.5,5.3,22.2,2428,90.7,460.7
NL,2021,Medical laboratory technologists,80.4,3.1,16.6,555,80.7,105.3
NL,2021,Medical physicists,100,0,0,2,50,0.4
NL,2021,Medical radiation technologists,75.1,4.7,20.3,,77.5,
NL,2021,Midwives,100,0,0,5,100,0.9
NL,2021,Nurse practitioners,92.8,6.3,1,207,85.5,39.3
NL,2021,Occupational therapists,84.2,1.4,14.4,222,87.4,42.1
NL,2021,Opticians,74.4,21.1,4.4,125,64.8,23.7
NL,2021,Optometrists,68.3,16.7,15,60,58.3,11.4
NL,2021,Pharmacists,73.2,13.1,13.6,755,61.1,143.2
NL,2021,Pharmacy technicians,,,,233,,44.2
NL,2021,Physician assistants,,,,,33.3,
NL,2021,Physicians,72.8,24.2,3,1378,41.8,261.5
NL,2021,Physiotherapists,84.2,5.2,10.6,311,71.7,59
NL,2021,Psychologists,,,,242,76.9,45.9
NL,2021,Registered nurses,75.5,6.9,17.6,5944,92.9,1127.8
NL,2021,Regulated nurses,75.1,6.4,18.5,8579,92.1,1627.7
NL,2021,Respiratory therapists,86.4,1.9,11.7,154,75.3,29.2
NL,2021,Social workers,78.4,6.3,15.3,1669,89,316.7
NL,2021,Specialists,74,26,0,683,39.1,129.6
NL,2021,Speech–language pathologists,89.5,3.3,7.2,152,98.7,28.8
NL,2022,Audiologists,72.9,6.2,20.8,48,85.4,9
NL,2022,Dental assistants,,,,326,,61.3
NL,2022,Dental hygienists,70.9,2.8,26.3,289,96.2,54.4
NL,2022,Denturists,,,,21,,4
NL,2022,Dietitians,86.2,1.8,12,167,97.6,31.4
NL,2022,Environmental public health professionals,,,,20,,
NL,2022,Family medicine,67.3,25.8,6.8,702,47.6,132.1
NL,2022,Genetic counsellors,,,,,,
NL,2022,Licensed practical nurses,70.7,5.4,23.9,2480,90.8,466.5
NL,2022,Medical laboratory technologists,79.1,3,17.8,561,80.6,105.5
NL,2022,Medical radiation technologists,78.5,4.5,16.9,,77.7,
NL,2022,Midwives,75,25,0,4,100,0.8
NL,2022,Nurse practitioners,91.8,6.1,2.2,231,85.3,43.5
NL,2022,Occupational therapists,82.4,2.1,15.5,238,87.8,44.8
